phrases,concepts
symptoms in the order,symptoms
sudden flu-like illness,sudden
flu-like illness,flu-like illness
severe brain,severe
severe brain fog,severe
rapid cognitive decline,rapid
bradyphrenia in parkinso,bradyphrenia
bradyphrenia in parkinso n,bradyphrenia
general weakness insomnia,general weakness
weakness insomnia,weakness
random week,random
long episodes,long
burning pain around the scalp,burning pain
pain around the scalp,pain
sleep heart,sleep
sleep heart arrhythmias,sleep
heart arrhythmias,heart arrhythmias
sudden svt,sudden
sudden svt attacks,sudden
svt attacks,svt
flat emotions,flat
cognitive problems,cognitive problems
severe head pain,severe
head on a pillow,head
sudden stabs,sudden
sudden stabs of pain,sudden
stabs of pain,pain
feeling of liquid,feeling
back of the head,back of
pains constant ringing,pains
pains constant ringing in ears,pains
constant ringing in ears,constant
ringing in ears,ringing in ears
pains in head,pains
horrible feelings,feelings
horrible feelings of discomfort,feelings
horrible feelings of discomfort in head,feelings
feelings of discomfort,feelings
feelings of discomfort in head,feelings
discomfort in head,discomfort
various burning,various
progressive muscle,progressive
progressive muscle weakness,progressive muscle weakness
clumsiness exertional breathlessness,clumsiness
exertional breathlessness,exertional
lifting objects,lifting
lifting objects for example,lifting
objects for example,objects
muscle waste,muscle
kind of relief,kind
brain of all the horrible feelings,brain
years of research,years
years of research on the internet,years
research on the internet,research
viral-induced intracranial hypertension,viral
form of ih,form
occasional tinnunitis,occasional
bad fatigue,bad
celiac disease,celiac disease
celiac disease diagnosis,celiac disease
disease diagnosis,disease
school at the moment,school
heart ultrasound,heart ultrasound
heart mri,heart mri
chest ct scans,chest ct scans
chest xr,chest xr
pulmonary exercise,pulmonary
pulmonary exercise stress,pulmonary
pulmonary exercise stress test,pulmonary
exercise stress,exercise
exercise stress test,exercise stress test
csf buildup,csf
cervical traction,cervical traction
cervical traction machine,cervical traction
traction machine,traction
medical florida,medical
cervical instability,cervical instability
spinal mri,spinal
possible correlation,possible
possible correlation between chronic fatigue,possible
possible correlation between chronic fatigue syndrome,possible
correlation between chronic fatigue,correlation
correlation between chronic fatigue syndrome,correlation
chronic fatigue syndrome with iih,chronic fatigue syndrome
fatigue syndrome with iih,fatigue
syndrome with iih,syndrome
yesterday after another stay,after
royal london,london
setting number,setting
painless head throbbing in the top,painless
head throbbing in the top,head throbbing
throbbing in the top,throbbing
occasional headache,occasional
sinus area,sinus
allergy issues,allergy
eent doctor,doctor
months with lots,months
months with lots of tests,months
lots of tests,tests
optic nerve problems,optic nerve
optic nerve problems for cerebral spinal fluid,optic nerve
optic nerve problems for cerebral spinal fluid issues,optic nerve
nerve problems,nerve problems
nerve problems for cerebral spinal fluid,nerve problems
nerve problems for cerebral spinal fluid issues,nerve problems
problems for cerebral spinal fluid,problems
problems for cerebral spinal fluid issues,problems
cerebral spinal fluid,cerebral spinal fluid
cerebral spinal fluid issues,cerebral spinal fluid
spinal fluid,spinal fluid
spinal fluid issues,spinal fluid
fluid issues,fluid
tramadol for back,tramadol
tramadol for back pain,tramadol
prevacid for reflux,prevacid
wise words,wise
wise words of previous experience,wise
words of previous experience,previous
previous experience,previous
signs of papilledema,signs
new diagnosis iih,new diagnosis
diagnosis iih,diagnosis
combination of migraine,combination
double vision multiple times,double vision
double vision multiple times per week,double vision
vision multiple times,vision
vision multiple times per week,vision
multiple times per week,multiple
lot of medications,lot
migranol nasal,nasal
migranol nasal spray,nasal spray
help for a few hours,help
er for an infusion,for
medical leave,medical
nerve blocks,nerve blocks
trigger point,trigger point
trigger point injections,trigger point
point injections,point
same company,same
same company in a similar position,same
company in a similar position,company
similar position,similar
new material,new
appropriate decisions,appropriate
internal judgement,internal
bursts of extra coaching,bursts
extra coaching,extra
best judgement,best
coaching session,coaching
check boxes,check
bright lighting,bright
overall pain,overall
much noise,much
husband about the decline,husband
same lunch,same
same lunch for days,same
same lunch for days in a row,same
lunch for days,lunch
lunch for days in a row,lunch
days in a row with no variation,days
row with no variation,row
shower routine,shower
neurocognative testing,testing
problem solving,problem solving
processing speed,processing
processing speed motor,processing
speed motor,speed
score across the board,score
days to a week of training,days
week of training,week
month long training,month
month long training session,month
long training,long
long training session,long
training session,training
average score,average
real questions,real
sticky notes,notes
same job,same
type of support,type
support stories,support
right words,right
solid headaches,solid
insane amount,amount
insane amount of pressure-,amount
amount of pressure-,amount
lower dose of diamox,lower
dose of diamox,dose
forehead region,forehead
regular checks,regular
local neurologist,local
ok last time,last
everyday throbbing,everyday
everyday throbbing headaches,everyday
throbbing headaches,throbbing headaches
bad 😦,bad
bad 😦 yesterday,bad
neuro opthamologist,neuro
experiences with this awful disease,experiences
awful disease,disease
thankyou for reading,for
iih in february,february
rocky road,rocky
medication after medication,medication
medication after medication with no relief,medication
medication after medication with no relief of symptoms,medication
medication with no relief,medication
medication with no relief of symptoms,medication
relief of symptoms,relief
lot of side effects on top,lot
side effects on top,side effects
side effects on top of a lot,side effects
effects on top,effects
effects on top of a lot,effects
effects on top of a lot of pain,effects
top of a lot,top
top of a lot of pain,top
appointment at john,appointment
appointment at john hopkins,appointment
month wait,month
month wait without any medication,month
wait without any medication,wait
spinal tap last week,spinal tap
tap last week,tap
help at the er,help
comforting words,comforting
fellow iih,fellow
fellow iih warriors,fellow
mg topiramate,topiramate
undiagnosible illness,illness
servere high blood,high
servere high blood pressure,high blood pressure
temporal pressure,temporal
temporal pressure headaches,temporal
acute periods,acute
weekly basis,weekly
acute period,acute
extreme lethargy,extreme
pet scans,pet scans
various other tests with no abnormalities,various
other tests with no abnormalities,tests
tests with no abnormalities,tests
years of no answers,years
hospital in november,hospital
pressure behind the eyes,pressure
sensitivity to light,sensitivity to light
neurology today,neurology
symptoms of iih,symptoms
doctors last year,doctors
control over the leg,control
past days,past
experience with acupuncture,experience
ne for a week,for
appointment on tuesday,appointment
appointment on tuesday for acupuncture,appointment
tuesday for acupuncture,tuesday
b12 vitamins,b12
mouth on the right side,mouth
side for a few days,side
small lesion,small lesion
small lesion on the left frontal lobe,small lesion
lesion on the left frontal lobe,lesion
left frontal lobe,left frontal lobe
