concepts|phrases
Serum cholesterol raised|cholesterol level sky high
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Lipitor|lipitor
Hip pain|pain in my hipjoints
Lipitor|lipitor
Pain|pain
Hip pain|pain around the hipjoints
Lipitor|lipitor
Pain|pain
Muscle atrophy|wasting of muscles
Myalgia/myositis - shoulder|muscle pain related to shoulders
Depression|depression
Excessive upper gastrointestinal gas|general malaise
Nausea|nausea
Loss of taste|taste loss
Insomnia|insomnia
Loss of hair|hair loss
Bronchitis|bronchitis
Influenza|flu
Abdominal pain|abdominal pain
Cramp in limb|muscle spasmns in left arm
Cramp in lower limb|muscle spasmns in legs
Backache|back pain
Heavy legs|felt like I had lead in my legs
Knee pain|terrible pains in knee
Ankle pain|terrible pains in ankle
Pain in toe|terrible pains in big toe
Walking disability|comfortably Couldn't walk
Difficulty sleeping|comfortably Couldn't sleep
Gout|gout
Gout|gout
Lipitor|Lipitor
Pain|pain
Clicking knee|weird symptoms (eg. popping) in knee
Clicking interphalangeal joint of toe|weird symptoms (eg. popping) in big toe joints
Symptom of ankle|weird symptoms (eg. popping) in ankle
Foot pain|pain in foot
Knee pain|pain in knee
Shoulder pain|Terrible pain in shoulders
Hip pain|Terrible pain in hips
Lipitor|Lipitor
Hip pain|pain in my hip
Shoulder pain|pain in my shoulders
Pain|pain bad
Tendonitis|tendonitis
Necrosis of anatomical site|avascular necrosis
Pain|pain
Pain|pain
Myocardial infarction|heart attack
Increased cholesterol esters|high cholesteral
Pain|pain
Pins and needles|in arms Tingling
Paraesthesia of lower extremity|Tingling in legs
Pins and needles|Tingling in back of neck
Burning pain|burning in legs
Burning pain|burning in back of neck
Burning pain|burning in arms
Lightheadedness|lightheadedness
Amnesia|memory loss
Chest pain|chest pain
Shoulder pain|pain in shoulder-feels like arm pulled out of socket
Myocardial infarction|heart attack
Cramp in foot|Severe cramps in toes
Foot pain|Feet sore
Pins and needles|Tingling in toes and feet
Pain in toe|pain in toes and feet
Foot swelling|Swollen feet
Insomnia|Insomnia
Constipation|Constipation
Asthenia|extreme fatigue
Muscle weakness|muscle weakness
Depression|depression
Pain in elbow|chronic elbow pain in both arms
Lipitor|Lipitor
Dropped beats - heart|skipping heart beats
Tachycardia|fast and slow heartbeat
Pain in lower limb|leg pain
Chest pain|chest pain
Fatigue|extreme tiredness
Depression|depression
Cardiac arrhythmia|severe arrythmias
Irregular heart beat|severe irregular heartbeat
Lipitor|Lipitor
Heart disease|severe heart disease
Excessive upper gastrointestinal gas|gas
Lipitor|Lipitor
Pain in lower limb|legs ached
Dizziness|diziness
Lipitor|Lipitor
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Severe pain|extreme pain
Muscle atrophy|loss of muscle in left leg
Lipitor|Liptitor
Backache|Back pain
Lipitor|Lipitor
Lipitor|Lipitor
Serum cholesterol raised|elevated cholesterol
Backache|wicked back pain
Neuropathy|neuropathy
Hyperaesthesia|hypersensitivity that wrapped around my abdomen
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
simvastatin|simvostatin
Pain in left leg|pain in my left leg and foot
Severe pain|exteem pain in my ankle
Walking disability|dificultly in walking
Walking disability|could not walk
Pain|pain
Foot pain|pain in my foot
simvastatin|simvostatin
Myalgia|muscle pain
Pain in lower limb|leg pains
Cramp in lower limb|thigh cramps
Fatigue|fatique
Dyspnoea|shortness of breath
Unable to walk|cannot walk
Indigestion|indigestion
Sexual dysfunction|sexual dysfunction
Tired|tired
Generalised aches and pains|ache all over
Myalgia|MUSCLE PAIN
Arthralgia|JOINT PAIN
Walking disability|COULD NOT WALK
Muscle twitch|mussel twitches
Muscle cramp|mussel cramps
Cramp|mussel spasms
Cramp in lower limb|Cramping of the leg muscles
Muscle fatigue|weariness of the leg muscles
Tired all the time|Always tired
Muscle cramp|muscle cramps
Myalgia|muscle pain
Musculoskeletal chest pain|muscle pain in my chest
Lipitor|Lipitor
Pain|pain
Insomnia|insommnia
Blistering rash|Rash with blisters
Myalgia|severe muscle aches
Arthralgia|joint pain
Feeling tired|extremely tired feeling
Lack of energy|no energy
Depressed mood|low mood
Loss of confidence|loss of self-confidence
Loss of motivation|loss of interest in life
Mentally dull|brain fog
Memory impairment|impaired memory
Difficulty breathing|hard to breath
Generalised aches and pains|hert from head to my toe
Lipitor|lipitor
Lipitor|Lipitor
Steatosis of liver|fatty liver
Heart valve regurgitation|leaky heart valves
Goitre|goiter
Neuropathy of lower limb|neuropthy in both feet
Lipitor|Lipitor
Chest pain|chest pains
Weakness of limb|weakness in my arms
Hip pain|Aches in hip joint
Pain in calf|Aches in calf muscles
Feeling irritable|crabby
Zocor|Zocor
fish oil natural|fish oil (salmon)
glucosamine|glucosamine sulfate
Pain|achiness
Moody|moodiness
Lipitor|Lipitor
Zocor|Zocor
Blurred vision - hazy|blurring eyesight
Loss of hair|hair loss
Cramp in lower limb|painful leg cramps
Weakness of limb|muscle weakness in my left arm
Walking disability|hard to walk
Pain in lower limb|legs ache so bad
Ankle pain|ankles ache so bad
Failure to lose weight|unable to lose weight even when on strict diet
Tired|very, very tired all the time
Myalgia|pain in almost every muscle
Digestive symptom|digestive changes
Bloating symptom|bloating
Excessive upper gastrointestinal gas|gas
Diarrhoea|diarhea
Lopid|Lopid
Lipitor|Lipitor
Visual disturbance|eyesight problems
Fatigue|fatigue
Muscle weakness|muscle weakness
Lipitor|Lipitor
fenofibrate|Tricor
Lipitor|Lipitor
Generalised aches and pains|Body aches
ubidecarenone|CO-Q10
ubidecarenone|CO-Q10
Lipitor|Lipitor
Chronic back pain|chronic and acute back pain
Cramp in lower limb|leg cramps
Lipitor|Lipitor
Hand cramps|Hand cramps
Cramp in lower limb|leg cramps
Carpal tunnel syndrome|carpal tunnel syndrome
Arthritis|inflammation of my joints
Myositis|inflammation of my foot muscles
Plantar fasciitis|plantar fasciitis of my left foot
ibuprofen|Motrin
Disorder of foot|foot problems
Excessive upper gastrointestinal gas|General weakness in my calves
Excessive upper gastrointestinal gas|General weakness in my hands
Excessive upper gastrointestinal gas|General weakness in my feet
Pins and needles|tingling in the soles of my feet
Burning feet|burning in the soles of my feet
Depression|Depression
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Lipitor|Lipitor
Heart disease|heart disease
Lipitor|Lipitor
Walking disability|difficulty walking
Impairment of balance|problems with my balance
Lipitor|Lipitor
Lipitor|Lipitor
Foot pain|My feet feel like I have stone bruises just in front of the heel
Hip pain|My hips hurt on both sides
Severe pain|Extreme Right Shoulder Pain
Poor short-term memory|short term memory loss
Feeling irritable|irratibility
Fatigue|fatigue
pyridoxine|B6
Headache|Severe headaches
Amnesia|Memory loss
Fatigue|extreme tiredness
Nausea|nausea
Cannot sleep at all|no sleep
Abnormal dreams|bad dreams
Myalgia|muscle pain
Arthralgia|joint pain
Tiredness symptom|tiredness
Severe pain|severe pain in left calf
Lipitor|lipitor
Cramp in calf|cramps in my left calf
Pain|pain
Difficulty standing|trouble standing for longer periods of time
Lipitor|lipitor
Pain|pain
Pain in calf|lower leg pain
Burning sensation|throbbing,burning sensation
Lipitor|Lipitor
Excessive upper gastrointestinal gas|general overal weakness
Fatigue|fatigue
Nausea|nausea
Dizziness|diziness
Trembles|trembling
Poor concentration|trouble concentrating
Feeling unhappy|sadness
Moody|moodiness
Insomnia|insomia
Neck pain|neck pain
Headache|dull headaches
Fever|feverish
Clammy skin|clamy feeling
Pins and needles|tingly feeling in scalp
Pins and needles|tingly feeling in hands
Generally unwell|felt rotton all day long
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|Muscle pain
Arthralgia|joint pain
Disorder of vision|severe vision problems
Fibromyalgia|fibromyalgia
Numbness of limbs|numbness in limbs
Lupus erythematosus|lupus
Lipitor|Lipitor
Muscle atrophy|Muscle wasting
Asthenia|weakness
Fatigue|fatigue
Diarrhoea|diarrhea
Loss of appetite|anorexic
Weight loss|weight loss
Muscle atrophy|muscles wasting
Deteriorating renal function|Kidney function became a problem
Cardiomyopathy|significan heart muscle weakness
Peripheral neuropathy|Peripheral Neuropathy
Impairment of balance|problems with balance
Lipitor|Lipitor
Dysphonia|speech problems
Swallowing problem|swallowing problems
Dysphonia|speech so bad
Swallowing problem|swallowing so bad
Lipitor|Lipitor
Amyotrophic lateral sclerosis|ALS
Lipitor|Lipitor
Memory impairment|affected my memory
Lipitor|Lipitor
Dysphonia|speech problems
Swallowing problem|swallowing problems
Visual disturbance|Loss of Vison
Myopathy|leg muscle and thigh problems
Lipitor|Lipitor
Arthralgia|joint pains
Lightheadedness|light headedness(problem keeping balance)
Tremor|Tremors in Right hand
Difficulty writing|hand writting had deteriorated
Lipitor|Lipitor
ubidecarenone|CQ-10
fish oil natural|Fish Oil
Parkinsonism|Parkinson's symptoms
Lipitor|Lipitor
Tired|Tired more than ususal
Heartburn|Heartburn
Myalgia|muscle pain
Muscle cramp|muscle spasms
Arthralgia|joint pain
Headache|headaches
Amnesia|memory loss
Rash|skin rash
Depression|depression
Insomnia|insomnia
Myalgia|muscle pain
Arthralgia|joint pain
Liver enzymes abnormal|liver enzymes were elevated
Hip pain|hip soreness
Pain in lower limb|leg soreness
Arthropathy|feels like my joints don't want to work
Fatigue|increase in level of fatigue
Excessive upper gastrointestinal gas|general weakness
Constant pain|constant leg pain
Ankle pain|terrible pain in my ankles
Foot pain|terrible pain in my feet
Foot pain|bottoms of my feet hurt
Unable to balance|loss of balance
Pins and needles|Tingling toes
Numbness of foot|numb toes
Pain in lower limb|sore legs
Ankle pain|sore ankles
Myalgia/myositis - lower leg|muscle pain in legs
Myalgia/myositis -pelvis/thigh|muscle pain in thighs
Pain in calf|calves muscle pain in
Arthralgia of the lower leg|joint pain in legs
Hip pain|joint pain in thighs
Arthralgia of the lower leg|calves joint pain in
Pain|pain so bad
Pain provoked by movement|turning in bed is painful
Lipitor|LIPITOR
Myocardial infarction|mild heart attack
Lipitor|lipitor
Backache|back pain
Tired|tiredness is at a high level
Myocardial infarction|heart attack
Pain provoked by movement|moving in bed is painful
Backache|pain back
Lipitor|Lipitor
Lipitor|Lipitor
Pain|pain
Memory impairment|couldn't remember who I had dinner with last night
Memory impairment|couldn't remember where I left my dog 10 minutes before
Pain|painful
Constipation|constipation
Stomach ache|stomach pain
Always hungry|always hungry
Stomach cramps|Stomach cramps
Myalgia|muscle pain
Low back pain|lower back pain
Feeling irritable|irritability
Influenza-like illness|flu-symptoms
Malaise|malaise
Lipitor|Lipitor
Pain in elbow|Muscle pain in left elbow
Foot pain|pain in feet
Arthralgia|jointaches
Pain in lower limb|pains in legs
Myalgia|musclesoreness
Foot pain|feet pains
Hip pain|pains hips
Neck pain|pains neck
Backache|backpain
Pain in finger|fingers hurt
Pain in toe|toes hurt
Headache|head hurt
Chest pain|chest hurt
Rib pain|ribs hurt
Rash|rashes
Itching|itches
Lipitor|lipitor
Type 2 diabetes mellitus|type2 diabetes
Arthralgia|jointaches
Pain in lower limb|pains in legs
Myalgia|musclesoreness
Foot pain|feet pains
Hip pain|pains hips
Neck pain|pains neck
Backache|backpain
Pain in finger|fingers hurt
Pain in toe|toes hurt
Headache|head hurt
Chest pain|chest hurt
Rib pain|ribs hurt
Rash|rashes
Itching|itches
Lipitor|lipitor
Type 2 diabetes mellitus|type2 diabetes
Capoten|capiten
glipizide|glcotrol
Toprol-XL|toprol
Lasix|lasix
tramadol|ultram
Muscle cramp|Severe muscle cramping
Muscle weakness|Muscle weakness
Lipitor|Lipitor
Muscle cramp|muscle spasms
Muscle cramp|cramping
Difficulty sleeping|can not sleep
Cramp in lower limb|severe leg cramping
Muscle cramp|cramps
Lipitor|Lipitor
Muscle twitch|fingers twitching
Muscle twitch|Legs twitching
Muscle cramp|cramps
Myalgia/myositis - lower leg|Very painful muscle aches in calves
Low back pain|Very painful muscle aches in lower back
Pain|pain
Myalgia/myositis -pelvis/thigh|muscle aches in thighs
Myalgia/myositis - lower leg|muscle aches in calves
Weakness of limb|weakness in legs
Unsteady when walking|waking felt unsteady
Difficulty riding a bicycle|biking most difficult
Pain provoked by movement|Leg muscles painful to light pressure
Muscle twitch|Muscle twitching on calves
Muscle twitch|Muscle twitching on bottom of feet
Muscle twitch|Deeper muscle twitches on arms sides
Muscle twitch|Deeper muscle twitches on butt
Muscle twitch|Deeper muscle twitches on thighs
Muscle twitch|muscle twitches
Muscle twitch|muscle twitches
Muscle cramp|cramping feeling
Asthenia|weakness
Arthralgia|joint pain
Muscle weakness|muscle weakness
Depression|depression
Fatigue|fatigue
Muscle cramp|cramps
Lipitor|Lipitor
Muscle twitch|muscle twitching in both arms
Muscle atrophy|loss of muscle mass in hands
Muscle atrophy|loss of muscle mass in face
Muscle atrophy|loss of muscle mass in arms
Slurred speech|slurred speech
Lipitor|lipitor
Arthralgia|Joint pain
Amyotrophic lateral sclerosis|ALS
Amyotrophic lateral sclerosis|ALS
Amyotrophic lateral sclerosis|ALS
Myalgia|muscle pain
Coronary arteriosclerosis|Coronary Artery Disease
Pravachol|provacal
Lipitor|lipitor
Fatigue|fatigue
Hip pain|hip pain
Knee pain|joint pain in knee
Muscle weakness|Muscles feel like a wet dish rag
Muscle fatigue|Extreme muscle fatigue
Rhabdomyolysis|Rhabdomyolosis
Tendonitis|tendonitis
Lipitor|Lipitor
Zocor|Zocor
Stiffness|body stiffness
Arthralgia|joint pain
Liver disease|damaged his liver
Asthenia|Weakness
Myalgia|muscle ache
Fatigue|fatigue
Muscle atrophy|noticible loss of muscle structure
Headache|headaches
Myalgia|muscle pain
Unable to walk|unable to walk
Cannot sleep at all|unable to sleep
Myalgia|Muscule aches & pains
Steatosis of liver|Fatty strands in my Liver
Rheumatoid arthritis|Rheumatoid Arthtitis
Lipitor|Lipitor
Spasm of back muscles|extreme muscle spazms in my lower back
Visual disturbance|eye sight changes
Fatigue|fatigue
Asthenia|weakness
Backache|back pain
Diarrhoea|Diarrhea
Myalgia|muscle pain
Arthralgia|joint aches
Lipitor|Lipitor
Muscle strain|strained muscles
Type 1 diabetes mellitus|type one diabetic
Muscle cramp|Muscle spasms
Arthralgia|joint ache
Muscle atrophy|loss of muscle structure in the calf muscles
Feeling tired|feel tired
Pain|ache
Lipitor|Lipitor
Severe pain|severe pain in my legs
Weakness of limb|muscle weakness in my legs
Pain provoked by movement|pain when I sit down or stand from a sitting position
Lipitor|Lipitor
Lipitor|Lipitor
Pain in lower limb|leg pain
Lipitor|Lipitor
Myocardial infarction|heart attack
Sharp pain|quick, sharp pain in center of chest
Flushing|hot/heated flushing sensation that began mid-torso and continued up to the top of head (top of scalp started tingling and burning)
Asthenia|weakness
Chill|shaking with chills uncontrollably
Myocardial infarction|heart attack
Cerebrovascular accident|shroke
Stress|stress
Panic attack|panic attack
Stress|stressed
Lipitor|Lipitor
Weakness of limb|lower leg weakness
Cramp in calf|cramping of the calf muscles
Lipitor|Lipitor
Lipitor|Lipitor
Muscle weakness|INFLAMMATORY muscle weakness & degeneration
Lipitor|Lipitor
Asthenia|debilitated
Paraesthesia of lower extremity|reduced feeling below the knees
Paraesthesia of hand|losing the feeling in his right hand
Fine motor impairment|inability to perform fine motor skills
Lipitor|Lipitor
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Severe pain|Sever muscle pain
Arthritis|arthritis
Lipitor|Lipitor
Lipitor|Lipitor
Excruciating pain|excrutiation pain throughout my entire body
Lipitor|Lipitor
Pain|pain
Increased cholesterol esters|high cholesterol
Lipitor|Lipitor
Pain in lower limb|pains in his legs
Weakness of limb|weakness in his knees
Blurred vision - hazy|Eye sight appeared foggy
Loss of hair|loss of hair
Backache|aches and pains in my back
Cough|cough
Ankle pain|sore ankles
Arthralgia|Sore joints
Depression|depressed
omega-3-acid ethyl esters-90|Omega 3
Generalised aches and pains|HURT EVERY WHERE
Generalised acute body pains|FELT LIKE I HAD BEEN RUN OVER BY A TRUCK
Asthenia|WEEK
Walking disability|COULDN'T WALK ACROSS THE ROOM
Lipitor|LIPITOR
pyridoxine|B-6
cyanocobalamin|B-12
Severe pain|extreme joint pain
Stiff neck|stiff neck
Pain in wrist|wrists pain
Hip pain|hips pain
Excessive upper gastrointestinal gas|general malaise
Depression|depression
Pain|pain
Lipitor|Lipitor
Muscle weakness|muscle weakness
Muscle fatigue|fatigue in arms
Lipitor|Lipitor
Muscle weakness|weak muscles
Severe pain|Extreme lower back pain
Neck pain|pain in neck and shoulders
Cramp in calf|calf cramping
Skin nodule|red bumps on my skin
Muscle fatigue|Muscle fatigue
Increased cholesterol esters|high cholesterol
Stress overload|over stressed
Generalised aches and pains|pain throughout my body
Confusion|mental confusion
Poor short-term memory|short term memory loss
